Name,Current Club,Position,Age,ca,pa,Nationality,Club,Loan Club,Corners,Crossing,Dribbling,Finishing,First Touch,Free Kick Taking,Heading,Long Shots,Long Throws,Marking,Passing,Penalty Taking,Tackling,Technique,Aggression,Anticipation,Bravery,Composure,Concentration,Vision,Decision,Determination,Flair,Leadership,Off the ball,Positioning,Teamwork,Work Rate,Acceleration,Agility,Balance,Jumping Reach,Natural Fitness,Pace,Stamina,Strength,Consistency,Dirtiness,Important Matches,Injury Proneness,Versatility,Aerial Reach,Command Of Area,Communication,Eccentricity,Handling,Kicking,One On Ones,Reflexes,Rushing Out(Tendency),Puching(Tendency),Throwing,Adaptability,Ambition,Controversy,Loyalty,Pressure,Professionalism,Sportsmanship,Temperament,GK,DL,DC,DR,WBL,WBR,DM,ML,MC,MR,AML,AMC,AMR,ST,Height,Weight,Left Foot,Right Foot,Reputation,Home Reputation,World Reputation,RCA,D.O.B,International Appearances,International Goal,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental,Shooting Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Felipe,Nott'm Forest,D C,34,139,152,Brazil,Nott'm Forest,,6,6,10,8,11,7,15,7,7,16,12,11,14,12,18,14,16,11,14,9,12,16,7,17,9,14,14,15,11,12,13,16,16,12,13,16,14,16,14,11,12,1,2,2,1,3,1,1,1,1,1,4,13,14,13,12,14,16,6,8,1,1,20,10,1,1,12,1,1,1,1,1,1,1,191,87,8,20,6950,7250,6050,138,1989/5/16,2,0,14.7,13.5,11.5,9.3,9.3,11,15.5,14.3,1,13.5,11.5,14.3,2,1,2,2.5
Nicolás Domínguez,Nott'm Forest,DM/M C,25,139,152,"Argentina,Italy",Nott'm Forest,,5,11,11,8,15,6,13,11,5,9,16,9,17,15,17,13,15,13,13,16,13,16,11,11,12,13,15,15,12,13,11,11,15,12,17,11,15,13,13,7,12,4,3,1,1,4,1,3,1,2,2,3,16,15,7,11,15,14,10,11,1,1,1,1,1,1,17,9,20,9,1,14,1,1,179,73,9,20,6950,6600,6000,137,1998/6/28,11,1,13,13,12,14.3,11,13.7,12,14.2,2,13,12,14.2,2,1,4,2
Willy Boly,Nott'm Forest,D C,32,132,150,"Ivory Coast,France",Nott'm Forest,,2,4,12,9,11,3,15,9,5,13,13,5,14,13,17,15,14,13,11,11,12,13,13,12,9,15,13,13,11,11,16,16,10,12,11,17,12,13,13,17,6,3,1,2,1,1,1,2,3,3,2,1,13,15,8,9,14,11,14,14,1,1,20,1,1,1,1,1,1,1,1,1,1,1,195,97,8,20,6600,6900,5750,130,1991/2/3,13,1,14,13.8,11.5,12.3,10.3,12,15.5,13,2.5,13.8,11.5,13,1.5,1,2,1
Neco Williams,Nott'm Forest,D/WB RL,22,127,150,"Wales,England",Nott'm Forest,,8,14,13,11,14,7,11,12,10,11,12,6,13,13,13,10,12,11,10,12,10,14,11,6,11,10,14,14,14,13,13,11,15,14,14,11,11,8,10,10,8,1,2,3,1,2,3,3,2,3,2,2,14,14,8,16,12,14,12,12,1,16,1,20,16,20,1,1,1,14,1,1,14,1,183,72,9,20,6350,7000,5500,116,2001/4/13,30,2,11.3,12.8,14,11.7,11,13.3,11,11.7,2.5,12.8,14,11.7,2.5,1,1.5,2.5
Andrew Omobamidele,Nott'm Forest,D C,21,126,150,"Republic of Ireland,Nigeria",Nott'm Forest,,2,4,8,4,10,4,14,4,3,14,12,4,14,12,11,14,14,16,12,11,11,15,3,13,6,14,13,12,15,13,13,14,10,15,13,12,13,7,12,4,4,2,3,1,1,1,2,3,1,1,3,3,12,15,6,12,13,14,11,14,1,1,20,1,1,1,1,1,1,1,1,1,1,1,190,85,8,20,6300,6300,4000,125,2002/6/23,6,0,14,12.8,15,8.7,8.7,10,14,13.2,2,12.8,15,13.2,2,1,1.5,2.5
Brandon Aguilera,Nott'm Forest,M/AM RLC,20,100,150,Costa Rica,Nott'm Forest,,12,11,14,10,13,11,5,10,12,5,13,10,5,14,10,8,10,10,9,12,9,12,14,8,12,10,10,10,12,12,13,8,10,13,8,6,10,11,9,6,10,1,3,3,3,2,1,2,1,1,3,3,12,15,10,15,10,15,15,11,1,1,1,1,1,1,1,1,18,1,18,20,16,1,168,60,20,10,5000,5000,3250,94,2003/6/30,8,0,6.7,9.8,12.5,13,10.7,13.7,6.5,9.7,1.5,9.8,12.5,9.7,3,3,1.5,2
Zach Abbott,Nott'm Forest,D C,17,88,150,England,Nott'm Forest,,5,3,7,5,9,4,11,5,1,9,10,7,11,10,9,11,9,11,12,7,13,14,7,6,7,14,9,12,12,9,9,11,12,12,12,10,20,8,20,3,14,3,2,3,2,1,2,2,3,4,4,3,14,16,6,12,14,12,14,13,1,1,20,1,1,1,1,1,1,1,1,1,1,1,185,0,8,20,4400,4400,2000,86,2006/5/13,0,0,11.3,10,12,8,7.7,8.7,11,11.3,2.5,10,12,11.3,2.5,2,2,2.5
Ibrahim Sangaré,Nott'm Forest,DM/M C,25,145,149,Ivory Coast,Nott'm Forest,,10,9,12,7,12,11,15,13,5,14,15,4,15,13,16,13,17,15,11,12,13,12,13,14,11,15,17,17,13,14,15,17,15,12,17,17,12,8,13,5,15,2,2,3,1,1,3,1,2,3,2,1,12,12,1,12,10,11,10,15,1,1,10,1,1,1,20,1,19,1,1,10,1,1,191,77,7,20,7250,6650,5650,145,1997/12/2,30,9,14.7,15.8,12.5,13.3,11,12.3,16,13.8,1.5,15.8,12.5,13.8,2.5,1,1.5,2
Scott McKenna,Nott'm Forest,D C,26,127,148,Scotland,Nott'm Forest,,4,5,7,6,10,7,15,10,10,14,11,10,14,10,15,13,14,12,12,8,12,15,7,16,7,13,13,13,12,11,11,15,12,14,13,15,14,13,14,8,11,1,2,1,1,2,3,2,3,3,3,3,12,15,7,12,12,14,10,13,1,1,20,1,1,1,1,1,1,1,1,1,1,1,188,73,20,9,6350,6300,4750,127,1996/11/12,29,1,13.7,12.5,13,8.7,8.3,9,15,13.2,2.5,12.5,13,13.2,1.5,1,1.5,3
Moussa Niakhaté,Nott'm Forest,D LC,27,135,146,"Senegal,France",Nott'm Forest,,4,9,11,7,12,4,14,6,18,13,12,15,14,12,16,12,16,12,12,12,12,16,12,16,11,13,13,12,13,11,14,16,16,15,13,15,13,13,15,4,15,3,1,1,3,3,3,3,2,3,1,1,16,17,11,12,16,16,12,12,1,17,20,10,14,8,1,1,1,1,1,1,1,1,190,82,20,10,6750,6600,5500,135,1996/3/8,3,0,13.3,13.3,14,12,10,11.7,15,13.5,2.5,13.3,14,13.5,1,3,3,2
Matt Turner,Nott'm Forest,GK,29,140,145,"United States,Lithuania",Nott'm Forest,,3,1,8,1,9,5,2,2,1,3,9,3,1,7,6,12,14,12,14,9,13,15,6,8,3,15,11,10,11,15,6,12,6,10,12,14,13,6,14,6,12,14,15,13,10,15,12,14,16,7,6,10,14,12,6,12,12,14,13,13,20,1,1,1,1,1,1,1,1,1,1,1,1,1,191,89,10,20,7000,7250,6500,137,1994/6/24,32,0,6.3,11.8,10.5,8,5.3,8,7,13.2,15,11.8,10.5,13.2,14,10,14.5,11
Taiwo Awoniyi,Nott'm Forest,S ,25,136,145,Nigeria,Nott'm Forest,,7,9,15,16,14,8,14,11,5,4,11,12,4,14,14,13,13,9,11,11,10,13,13,5,15,5,11,13,16,15,16,11,13,15,13,16,11,5,13,5,5,1,3,4,4,2,2,2,2,2,2,1,12,14,10,9,10,11,10,12,1,1,1,1,1,1,1,1,1,1,13,1,13,20,183,74,9,20,6800,6600,5250,135,1997/8/12,6,1,4.3,15,15.5,11.7,13.3,14.3,12.5,11.8,2,15,15.5,11.8,3.5,4,1.5,1.5
Anthony Elanga,Nott'm Forest,M/AM RL,21,130,145,"Sweden,Cameroon,England",Nott'm Forest,,5,8,14,13,12,4,7,11,2,1,10,10,6,13,12,9,8,10,9,6,8,13,16,3,12,8,13,14,18,14,11,10,15,18,14,13,12,4,9,6,13,1,3,1,1,1,1,1,1,2,3,1,15,12,2,15,12,15,15,14,1,1,1,1,1,1,1,18,1,15,20,1,16,15,180,71,9,20,6500,6400,4500,118,2002/4/27,12,3,5,13,18,10.7,11.7,13,8.5,10,1,13,18,10,2,1,1,1
Serge Aurier,Nott'm Forest,D/WB R,30,134,144,Ivory Coast,Nott'm Forest,,7,12,13,10,15,7,14,9,9,13,13,6,15,12,15,13,15,14,12,10,12,15,11,10,16,13,15,16,14,13,14,9,15,13,15,14,12,13,14,7,12,3,3,3,1,3,3,1,2,3,2,3,14,15,14,12,11,13,11,12,1,14,12,20,8,17,7,1,1,10,1,1,1,1,174,74,8,20,6700,6700,6000,134,1992/12/24,83,4,13.7,14,13.5,11.3,13.3,13.3,11.5,13.7,1.5,14,13.5,13.7,3,1,3,3
Odysseas Vlachodimos,Nott'm Forest,GK,29,138,142,"Greece,Germany",Nott'm Forest,,2,1,1,2,8,4,8,3,3,2,9,4,1,8,11,11,10,11,13,10,13,13,4,10,3,14,13,13,13,16,12,14,14,12,13,12,13,4,13,5,12,14,8,10,4,16,12,14,18,7,13,14,13,14,14,14,8,13,8,9,20,1,1,1,1,1,1,1,1,1,1,1,1,1,188,76,9,20,6900,6500,5550,134,1994/4/26,33,0,5.7,13.3,12.5,7.7,5.3,5.7,11,12.2,16,13.3,12.5,12.2,9,4,15,13
Joe Worrall,Nott'm Forest,D C,26,129,142,England,Nott'm Forest,,6,7,6,5,11,6,15,5,7,12,13,5,14,10,14,12,16,13,12,8,12,13,7,15,7,13,15,14,11,11,12,16,12,13,15,15,14,10,12,5,10,1,1,4,1,1,3,2,2,3,3,1,16,12,9,14,12,14,14,16,1,4,20,4,1,1,1,1,1,1,1,1,1,1,193,64,13,20,6450,6450,4500,128,1997/1/10,0,0,13,13.3,12,9.3,8.3,9,15.5,13.3,2,13.3,12,13.3,2.5,1,1,2
Cheikhou Kouyaté,Nott'm Forest,D/DM/M C,33,129,141,"Senegal,Belgium",Nott'm Forest,,4,8,10,7,12,5,14,7,10,13,12,10,15,12,16,13,15,13,12,10,11,14,10,12,9,13,13,16,13,13,13,16,15,12,14,15,13,14,14,7,13,1,1,3,2,4,2,3,1,2,4,2,13,12,5,10,13,11,10,9,1,1,17,1,1,1,20,1,20,1,1,1,1,1,192,83,7,20,6450,6550,5750,120,1989/12/21,81,4,13.7,13.8,12.5,10.7,9.7,11.3,15,13,2,13.8,12.5,13,2,2,2.5,2
Ola Aina,Nott'm Forest,D/WB/M RL,26,131,138,"Nigeria,England",Nott'm Forest,,5,12,12,7,11,4,11,6,12,9,11,5,12,12,11,9,9,11,9,10,9,12,14,7,11,9,10,12,17,13,12,11,16,17,13,10,11,11,12,7,16,3,3,1,3,2,1,2,2,2,3,2,12,14,7,10,11,15,14,15,1,17,10,19,19,20,8,17,1,17,1,1,1,1,184,82,15,20,6600,6650,5500,114,1996/10/8,30,0,10,12,17,11.7,9.7,11.7,11,9.7,2,12,17,9.7,2,3,2.5,1.5
Chris Wood,Nott'm Forest,S ,31,130,138,"New Zealand,England",Nott'm Forest,,3,9,11,13,12,10,15,11,3,7,12,15,9,12,14,14,16,13,13,9,14,15,10,14,12,10,16,15,12,11,16,16,14,11,15,15,11,7,13,9,5,2,1,3,3,3,2,1,3,3,2,2,15,11,5,15,15,16,13,13,1,1,1,1,1,1,1,1,1,1,1,1,1,20,191,90,11,20,6650,6900,5500,130,1991/12/7,70,33,8.7,14.3,11.5,10.3,12.7,11.7,15.5,14.7,2,14.3,11.5,14.7,2,3,2.5,2
Ryan Yates,Nott'm Forest,DM/M C,25,129,138,England,Nott'm Forest,,7,10,10,11,12,10,15,9,4,12,13,4,14,12,12,12,15,13,12,12,13,15,6,12,13,14,15,15,11,13,12,14,15,13,16,13,14,8,13,4,12,3,3,4,3,2,1,4,1,3,1,1,10,12,8,14,13,14,13,10,1,1,12,1,1,1,16,1,20,10,1,12,1,1,190,96,13,20,6450,6450,4750,129,1997/11/21,0,0,13.3,13.5,12,10.3,12.3,11.3,14.5,13.7,2.5,13.5,12,13.7,3.5,3,2.5,1
Esapa Osong,Nott'm Forest,S ,18,83,137,"England,Somalia,Cameroon",Nott'm Forest,,5,8,9,10,8,5,8,3,3,6,8,10,6,10,7,9,9,10,8,11,9,10,12,8,10,9,10,12,13,8,10,7,10,15,9,7,11,6,9,4,8,2,1,2,1,1,3,1,3,2,2,1,9,11,6,8,9,10,10,11,1,1,1,1,1,1,1,1,1,1,12,12,12,20,182,71,14,20,4150,4150,2000,72,2004/9/21,0,0,7,8.5,14,10.3,10,9,7.5,9.2,2,8.5,14,9.2,1.5,1,1.5,2
Orel Mangala,Nott'm Forest,DM/M C,25,127,134,"Belgium,Democratic Republic of Congo",Nott'm Forest,,8,10,15,9,13,8,10,10,8,11,14,10,13,14,11,12,15,14,13,13,12,13,12,9,12,13,11,10,13,14,16,10,17,13,12,15,10,10,15,8,12,3,3,2,2,3,3,2,4,2,2,1,13,13,13,8,12,12,12,8,1,1,1,1,1,1,18,10,20,1,10,12,1,1,178,82,10,20,6350,6300,5450,127,1998/3/18,8,0,12.3,14.3,13,13,11.7,14,10,12.7,3,14.3,13,12.7,2.5,2,3,2
Harry Toffolo,Nott'm Forest,D/WB L,27,120,130,"England,Italy",Nott'm Forest,,12,13,11,12,13,14,12,10,10,11,12,7,12,12,11,12,11,12,11,13,13,12,7,9,12,12,13,12,13,12,11,10,14,12,15,11,14,6,9,7,12,3,2,1,2,1,3,1,3,1,3,3,11,10,3,11,11,14,10,11,1,20,1,1,19,1,1,14,1,1,1,1,1,1,183,71,20,8,6000,6000,3500,118,1995/8/19,0,0,11.7,12.3,12.5,10.7,12,12,11,12,2,12.3,12.5,12,1.5,2,2,3
Divock Origi,Nott'm Forest,S ,28,137,154,"Belgium,Kenya",A.C. Milan,Nott'm Forest,6,11,14,13,14,9,12,14,8,7,13,13,7,14,10,12,11,13,12,13,12,8,13,8,13,7,13,12,13,14,15,13,11,15,14,14,11,6,15,15,12,1,1,2,1,2,1,1,1,3,2,2,13,10,5,18,11,15,12,16,1,1,1,1,1,1,1,1,1,1,14,8,12,20,189,75,13,20,6850,6400,6500,136,34807,32,3,7,14.25,14,13,13,14,12.5,11.33333333,1,14.25,14,11.33333333,1.5,1,1.5,1.5
Gonzalo Montiel,Nott'm Forest,D/WB R,26,137,145,"Argentina,Spain",Sevilla FC,Nott'm Forest,7,11,9,6,12,3,12,5,13,14,12,17,14,9,16,15,16,14,13,8,13,16,7,13,11,14,17,16,14,14,14,10,15,15,16,13,12,14,15,10,13,2,1,1,1,2,1,1,1,1,3,2,15,12,8,15,15,15,12,15,1,1,12,20,1,17,1,1,1,1,1,1,1,1,175,70,7,20,6850,6650,5850,137,35431,23,1,14,14.25,14.5,9,10.33333333,10,11,15,1,14.25,14.5,15,1,1,2,1.5
James McAtee,Sheffield United,M/AM C,20,125,170,England,Man City,Sheffield United,8,12,15,12,14,12,7,12,3,9,14,10,6,16,8,12,12,14,13,13,13,13,14,7,8,6,13,13,15,16,14,10,12,13,11,9,12,4,12,8,11,2,2,3,1,3,1,2,3,2,3,3,8,13,6,10,12,13,14,12,1,1,1,1,1,1,1,1,18,1,1,20,13,1,180,70,20,8,6250,6250,4000,124,2002/10/18,0,0,7,12.5,14,13.7,11.3,15,8.5,12.7,2.5,12.5,14,12.7,2.5,1,2.5,2
Anel Ahmedhod?i?,Sheffield United,D C,24,128,165,"Bosnia and Herzegovina,Sweden",Sheffield United,,5,12,10,5,12,7,14,7,7,13,14,8,14,12,14,14,14,13,13,13,14,15,10,12,9,13,11,11,13,9,12,15,12,14,13,13,15,7,14,6,10,2,3,3,2,3,2,1,3,2,2,3,15,15,8,10,15,14,9,8,1,1,20,12,1,10,1,1,1,1,1,1,1,1,190,84,9,20,6400,6400,4750,129,1999/3/26,22,1,13.3,11.8,13.5,12.3,9,11.3,14.5,13.5,2,11.8,13.5,13.5,3,2,2.5,2.5
Cameron Archer,Sheffield United,S ,21,126,155,"England,Jamaica",Sheffield United,,4,7,11,16,13,7,11,9,3,4,8,10,4,12,9,10,10,15,11,11,11,15,13,8,14,11,11,14,16,13,12,11,13,14,12,13,11,7,9,8,9,3,1,2,3,3,3,2,2,4,1,2,20,15,8,10,11,12,11,18,1,1,1,1,1,1,1,1,1,1,1,1,1,20,171,71,10,20,6300,6300,4000,122,2001/12/9,0,0,6.3,12.5,15,10.7,15,12,11,11.3,2,12.5,15,11.3,1.5,3,3,2.5
Vinicius Souza,Sheffield United,DM/M C,24,125,155,Brazil,Sheffield United,,11,11,12,11,13,10,12,11,11,11,14,13,13,12,12,13,13,14,12,13,14,12,13,10,13,8,13,13,13,13,11,13,12,12,14,12,14,12,14,5,12,1,2,2,1,3,3,2,1,2,3,3,14,1,2,11,11,8,10,20,1,1,1,1,1,1,19,1,20,1,1,1,1,1,187,78,9,20,6250,6250,4500,126,1999/6/17,0,0,10.7,12.5,12.5,13.3,12.7,12.3,12.5,12.8,1.5,12.5,12.5,12.8,2,1,2,3
Bénie Traoré,Sheffield United,AM/S RL,20,117,150,Ivory Coast,Sheffield United,,9,10,13,13,13,8,7,11,6,5,11,13,8,13,11,13,11,13,12,11,12,13,13,7,12,10,11,13,14,14,12,8,12,13,12,10,13,4,11,12,11,3,1,1,2,4,3,1,2,1,1,2,13,13,8,8,12,12,10,12,1,1,1,1,1,1,1,1,1,1,15,1,18,20,172,64,8,20,5850,4750,2500,109,2002/11/30,0,0,7.7,12,13.5,11.7,12.7,13,7.5,12,1.5,12,13.5,12,1,2,3.5,2.5
Daniel Jebbison,Sheffield United,S ,19,112,150,"England,Canada,Jamaica",Sheffield United,,7,9,13,13,11,9,10,11,6,5,10,10,6,12,12,12,11,11,8,12,9,11,13,7,12,8,10,11,15,14,13,10,13,14,13,11,10,13,10,10,10,3,1,1,1,1,2,1,1,1,2,2,14,11,3,13,11,9,8,6,1,1,1,1,1,1,1,1,1,1,1,12,1,20,190,75,10,20,5600,5600,3250,110,2003/8/13,0,0,6.3,12.8,14.5,11.7,12,12,10,10.2,1,12.8,14.5,10.2,1,1,2,2
Jayden Bogle,Sheffield United,D/WB R,23,126,145,England,Sheffield United,,9,12,14,11,12,8,10,5,11,12,12,7,13,12,10,11,11,11,11,12,12,14,14,8,12,12,14,14,15,14,14,9,15,14,14,11,12,8,10,13,12,2,2,1,1,1,1,1,2,3,1,2,12,12,6,15,12,14,14,12,1,1,1,20,1,20,1,1,1,14,1,1,1,1,178,69,9,20,6300,6300,4750,122,2000/7/27,0,0,12.3,13.3,14.5,12.7,11.3,12.7,9.5,12.2,1.5,13.3,14.5,12.2,1.5,1,1.5,1.5
Rhian Brewster,Sheffield United,S ,23,124,145,"England,Barbados,Türkiye",Sheffield United,,7,10,12,16,12,14,10,12,7,8,11,13,8,15,15,14,15,13,10,13,12,16,14,6,13,7,10,9,14,14,15,10,12,14,13,9,9,15,13,12,10,4,3,1,3,1,4,2,1,1,3,1,10,17,15,10,12,14,6,8,1,1,1,1,1,1,1,1,1,1,14,12,14,20,178,68,10,20,6200,6100,5000,123,2000/4/1,0,0,7.7,12.8,14,12.7,14,13,10,12.8,1.5,12.8,14,12.8,2,3,2.5,2.5
Isma?la Coulibaly,Sheffield United,DM/M/AM C,22,115,145,Mali,Sheffield United,,7,8,13,11,12,6,7,11,3,5,12,8,8,12,7,12,7,11,9,10,11,14,11,5,12,11,13,13,14,13,12,10,10,13,12,10,9,6,5,11,12,2,2,2,1,3,3,1,2,3,2,2,13,11,4,10,11,10,10,14,1,1,1,1,1,1,18,1,20,1,1,16,12,1,175,68,13,20,5600,5250,4000,103,2000/12/25,1,0,8,11.8,13.5,11,11.3,12.3,8.5,11,1.5,11.8,13.5,11,2,1,2.5,2.5
Tom Davies,Sheffield United,DM/M C,25,127,144,England,Sheffield United,,9,10,12,8,13,10,10,7,2,10,13,8,14,14,15,14,16,12,14,11,11,14,14,9,11,14,15,15,13,15,13,10,15,12,17,12,13,13,11,7,14,2,1,3,3,3,3,4,2,2,2,2,10,9,4,13,12,14,13,12,1,1,1,10,1,14,18,1,20,14,1,12,1,1,179,70,9,20,6350,6350,5250,124,1998/6/30,0,0,12.7,14.3,12.5,12.7,10.3,13,10,14,3,14.3,12.5,14,2,3,2.5,2.5
John Egan,Sheffield United,D C,30,130,138,Republic of Ireland,Sheffield United,,7,8,8,8,10,5,14,10,6,12,12,8,14,11,14,14,17,11,14,12,13,16,7,14,9,14,14,15,12,10,13,15,13,12,14,14,13,9,13,11,7,2,2,2,4,1,2,4,2,3,2,1,14,12,5,14,12,16,12,14,1,1,20,1,1,1,1,1,1,1,1,1,1,1,185,72,10,20,6500,6650,5250,130,1992/10/20,34,3,13.3,12.8,12,10.3,9.3,9.7,14.5,14.7,3,12.8,12,14.7,2,4,1.5,1.5
Rhys Norrington-Davies,Sheffield United,D/WB LC,24,126,138,Wales,Sheffield United,,10,13,13,7,11,8,11,5,10,11,12,6,13,12,16,12,14,12,11,10,12,13,9,8,12,12,14,15,14,13,13,9,15,13,15,13,13,11,12,3,9,3,1,3,1,2,1,1,3,2,2,2,3,11,4,11,12,11,12,12,1,20,16,1,20,1,1,1,1,1,1,1,1,1,181,72,20,9,6300,6300,4500,121,1999/4/22,13,1,12,13.5,13.5,10.3,10.3,12,10,12.7,2,13.5,13.5,12.7,2,1,2.5,1.5
John Fleck,Sheffield United,M C,31,125,138,Scotland,Sheffield United,,12,12,12,10,13,11,8,11,7,12,14,10,13,13,14,14,13,13,12,14,13,13,12,11,13,13,14,13,12,14,15,7,14,13,14,11,11,12,12,11,9,2,3,1,2,3,3,1,2,3,2,1,10,14,10,13,9,12,12,12,1,1,1,1,1,1,15,10,20,1,1,1,1,1,170,73,20,7,6250,6200,5250,127,1991/8/24,5,0,12.7,13.5,12.5,13.3,12,12.7,7.5,13.2,1.5,13.5,12.5,13.2,2,2,2.5,2
Gustavo Hamer,Sheffield United,DM/M C,26,134,137,"The Netherlands,Brazil",Sheffield United,,14,11,12,11,13,14,12,15,9,11,14,8,14,14,19,13,14,13,13,13,13,12,13,12,13,11,15,15,14,13,12,8,15,13,12,11,12,15,10,6,13,1,3,3,2,2,3,2,3,1,3,3,12,14,8,12,13,12,7,10,1,14,7,14,10,14,20,10,19,12,1,1,1,1,169,61,10,20,6700,6100,4250,133,1997/6/24,0,0,12,12,13.5,13.3,12.3,13,10,13.3,2.5,12,13.5,13.3,3,2,1.5,3
George Baldock,Sheffield United,D/WB R,30,127,137,"Greece,England",Sheffield United,,6,11,12,8,13,6,12,8,8,12,12,8,13,13,14,13,15,13,12,12,13,15,13,11,13,13,14,16,14,13,13,12,15,14,15,13,13,9,10,5,13,1,3,1,2,3,2,2,1,1,4,2,12,14,8,12,11,16,9,11,1,1,1,20,1,20,1,1,1,1,1,1,1,1,178,67,5,20,6350,6250,5000,128,1993/3/9,9,0,12.7,13.5,14,12.3,11.3,12.7,12,13.7,1.5,13.5,14,13.7,2,2,2,2
Max Lowe,Sheffield United,D/WB L,26,125,137,England,Sheffield United,,8,13,13,9,14,8,11,8,9,13,13,5,13,13,11,13,12,13,13,12,13,10,11,9,13,12,13,14,14,13,13,10,15,14,14,12,14,8,15,9,12,2,2,2,1,2,2,2,1,2,3,2,10,10,5,10,13,15,13,15,1,20,1,1,20,1,1,1,1,1,1,1,1,1,175,74,20,7,6250,6250,5000,126,1997/5/11,0,0,12.7,13,14,12,11.7,13.3,10.5,12.3,1.5,13,14,12.3,2,1,2,2
Auston Trusty,Sheffield United,D C,24,124,137,United States,Sheffield United,,7,7,8,5,11,6,15,6,6,14,11,4,14,11,10,12,13,12,11,10,13,10,7,10,10,13,13,14,13,9,11,14,11,14,14,14,13,5,8,6,8,7,1,1,1,1,9,1,1,1,1,1,9,14,6,11,10,10,10,14,1,11,20,1,1,1,1,1,1,1,1,1,1,1,191,85,20,11,6200,6200,4250,124,1998/8/12,2,0,13.7,12,13.5,9.3,9,10,14.5,12,1,12,13.5,12,1,1,4,5
Sai Sachdev,Sheffield United,D RC,18,72,136,"England,India",Sheffield United,,3,11,9,1,9,1,10,5,12,8,8,3,11,7,11,10,9,9,11,7,13,13,5,10,6,9,7,10,12,9,7,3,12,12,9,10,12,9,16,6,10,1,1,2,2,3,2,1,2,1,3,2,12,11,5,15,10,10,11,15,1,1,18,20,1,12,1,1,1,1,1,1,1,1,170,0,5,20,3600,4250,1750,63,2005/3/9,0,0,9.3,8.8,12,6.7,5.3,8.3,6.5,10.5,1.5,8.8,12,10.5,1.5,2,2,2
Chris Basham,Sheffield United,D C,35,124,135,England,Sheffield United,,6,10,9,7,10,6,13,8,11,13,11,8,14,11,12,13,16,12,13,12,12,15,10,14,12,13,14,16,11,11,12,13,14,11,14,13,13,6,12,7,14,3,2,1,1,2,1,1,1,2,4,1,14,12,4,15,12,16,14,11,1,1,20,14,1,14,15,1,15,1,1,1,1,1,190,80,10,20,6300,6300,4750,122,1988/7/20,0,0,13.3,12.5,11,11,10.3,10,13,13.8,1,12.5,11,13.8,1.5,1,2.5,1
Oli McBurnie,Sheffield United,S ,27,125,134,"Scotland,England",Sheffield United,,5,8,12,13,12,6,15,9,7,11,12,12,6,13,13,13,14,13,13,11,13,14,11,12,13,8,10,13,13,12,14,14,11,13,12,14,13,14,13,10,12,1,3,3,2,1,2,2,2,1,1,4,11,16,11,11,14,8,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,20,188,85,11,20,6300,5900,5250,126,1996/6/4,16,0,8.3,13,13,11.3,13,12.3,14.5,12.8,2,13,13,12.8,3,2,1,3
Oliver Norwood,Sheffield United,DM/M C,32,126,133,"Northern Ireland,England",Sheffield United,,13,13,10,11,12,12,10,11,6,11,15,12,12,14,13,12,11,13,13,14,13,14,11,13,12,14,13,13,12,12,12,10,14,11,14,10,14,12,13,5,12,1,2,1,1,2,3,1,2,3,2,3,6,12,5,11,11,14,10,12,1,1,1,1,1,1,20,1,20,1,1,1,1,1,180,77,11,20,6300,6300,5000,124,1991/4/12,57,0,12.3,12,11.5,13.3,12,12,10,12.7,1.5,12,11.5,12.7,1.5,1,1.5,3
Ben Osborn,Sheffield United,M LC,28,122,131,England,Sheffield United,,12,14,12,9,12,10,9,10,8,11,12,10,13,13,10,12,13,12,11,12,13,13,12,11,11,12,12,14,13,12,12,9,15,12,14,9,13,9,11,3,15,3,2,1,2,1,3,1,2,2,3,3,16,12,6,12,10,10,11,9,1,14,1,1,15,1,11,20,20,1,12,12,1,1,176,75,20,13,6100,6100,4500,119,1994/8/5,0,0,12,11.8,12.5,12,10.7,12.3,9,12.3,1.5,11.8,12.5,12.3,1.5,2,2,3
Jack Robinson,Sheffield United,D LC,29,124,130,England,Sheffield United,,9,11,8,8,12,9,13,9,18,13,12,9,13,12,14,14,16,14,12,12,12,12,9,12,9,13,12,13,11,12,12,12,12,12,14,13,13,14,14,14,14,3,1,3,2,1,2,2,2,4,1,2,12,15,5,10,11,15,10,7,1,20,20,1,10,1,1,1,1,1,1,1,1,1,180,64,20,9,6200,6200,4500,124,1993/9/1,0,0,13,12.8,11.5,11,10.3,10.7,12.5,13,2,12.8,11.5,13,2,2,2,2
Wes Foderingham,Sheffield United,GK,32,127,128,England,Sheffield United,,5,1,2,2,10,8,5,1,3,2,12,2,1,12,10,12,9,11,15,14,13,12,3,12,3,16,8,10,10,14,9,12,12,10,13,12,14,2,12,4,13,12,11,14,4,14,15,11,15,9,14,15,10,13,5,19,11,17,10,14,20,1,1,1,1,1,1,1,1,1,1,1,1,1,185,75,20,6,6350,6350,4500,128,1991/1/14,0,0,6.3,12,10,9.7,5.3,8,8.5,11.5,13,12,10,11.5,12.5,4,13,15
